theta_max_deg,rho,clean_mpjpe_mm,displacement_mm,nontarget_mpjpe_mm,plausibility,spearman,ramp_minus_step,tmpjpe_mm,clean_target_floor_mm,asr,frac_landed,frac_preserved,_payload_key
20.0,0.01,92.38231927156448,27.84779667854309,31.106697395443916,0.11824177205562592,1.0,0.23852864837134247,181.01108074188232,86.82548999786377,0.2494199535962877,0.2505800464037123,0.9891724671307038,0.2494199535962877
20.0,0.02,94.90256756544113,26.68028138577938,30.490692704916,0.12176194787025452,1.0,0.23940836753857475,183.7407350540161,88.55148404836655,0.2614075792730085,0.2625676720804331,0.9899458623356535,0.2614075792730085
20.0,0.05,93.80760043859482,29.278084635734558,31.159862875938416,0.11394654959440231,1.0,0.23108759480874286,177.05079913139343,87.61517703533173,0.285769528228925,0.28692962103634956,0.9864655839133797,0.285769528228925
20.0,0.1,93.15197169780731,34.66750681400299,29.465001076459885,0.11671581119298935,1.0,0.22062880181426103,167.72274672985077,86.5083560347557,0.34609435421500384,0.3468677494199536,0.9907192575406032,0.34609435421500384
30.0,0.01,94.32964771986008,30.241403728723526,33.38811919093132,0.11405544728040695,1.0,0.24109864923539337,246.05251848697662,87.34100311994553,0.04524361948955916,0.04640371229698376,0.9864655839133797,0.04524361948955916
30.0,0.02,93.65548193454742,28.20739895105362,30.98439797759056,0.11656659841537476,1.0,0.2325596075053199,243.15492808818817,88.18531781435013,0.061871616395978345,0.06225831399845321,0.9876256767208044,0.061871616395978345
30.0,0.05,95.21082788705826,25.358062237501144,28.777193278074265,0.11135227233171463,1.0,0.23845617462080337,239.69662189483643,86.99645847082138,0.05529775715390565,0.05529775715390565,0.9938128383604021,0.05529775715390565
30.0,0.1,95.2342227101326,91.17338061332703,29.05263379216194,0.1229475811123848,1.0,0.1904136099709004,187.35270202159882,89.61346745491028,0.3194122196442382,0.3194122196442382,0.9918793503480279,0.3194122196442382
40.0,0.01,92.09485352039337,28.082916513085365,32.36676752567291,0.11249291151762009,1.0,0.2354858315291427,306.9292902946472,85.01394093036652,0.013921113689095127,0.014307811291569992,0.988399071925754,0.013921113689095127
40.0,0.02,92.37604588270187,29.643528163433075,32.36960619688034,0.11378055065870285,1.0,0.2327856222570387,309.3365430831909,85.29803156852722,0.013147718484145398,0.013147718484145398,0.9837587006960556,0.013147718484145398
40.0,0.05,90.66345542669296,43.27075555920601,29.023122042417526,0.11530598253011703,1.0,0.23980052049046308,287.90029883384705,84.75039899349213,0.03905645784996133,0.03944315545243619,0.9876256767208044,0.03905645784996133
40.0,0.1,95.3252986073494,147.63802289962769,29.948092997074127,0.13594476878643036,1.0,0.1864389755247884,207.99054205417633,90.02844989299774,0.2838360402165507,0.2842227378190255,0.9922660479505027,0.2838360402165507
50.0,0.01,94.22434121370316,29.629046097397804,33.44354405999184,0.11640695482492447,1.0,0.22804127829187715,371.34841084480286,88.45396339893341,0.005413766434648105,0.00580046403712297,0.9814385150812065,0.005413766434648105
50.0,0.02,95.54080665111542,27.395179495215416,30.813710764050484,0.11658328771591187,1.0,0.23736615193230803,381.43184781074524,89.11512792110443,0.005027068832173241,0.005413766434648105,0.9891724671307038,0.005027068832173241
50.0,0.05,93.65980327129364,25.94001591205597,28.908416628837585,0.11355748772621155,1.0,0.23579484520988336,369.04677748680115,86.81245893239975,0.0034802784222737818,0.0038669760247486465,0.9903325599381284,0.0034802784222737818
50.0,0.1,94.70962733030319,175.4804104566574,29.6021718531847,0.1296028196811676,1.0,0.15731980723077987,240.31266570091248,88.74045312404633,0.22621809744779584,0.22621809744779584,0.9922660479505027,0.22621809744779584
60.0,0.01,93.56626123189926,29.262684285640717,32.56801888346672,0.11334984004497528,1.0,0.22787893825593497,442.60141253471375,86.75193041563034,0.002320185614849188,0.002320185614849188,0.9864655839133797,0.002320185614849188
60.0,0.02,96.4282676577568,26.89719945192337,30.36346472799778,0.11846614629030228,1.0,0.23212257918562407,435.5892539024353,90.33789485692978,0.0030935808197989174,0.0030935808197989174,0.9934261407579273,0.0030935808197989174
60.0,0.05,95.04111111164093,28.993209823966026,31.376466155052185,0.11228269338607788,1.0,0.23239571426936712,432.7176511287689,87.51426637172699,0.0027068832173240526,0.0034802784222737818,0.9864655839133797,0.0027068832173240526
60.0,0.1,94.84753012657166,282.3508083820343,30.796924605965614,0.15723367035388947,1.0,0.16264454404242934,233.82468521595,92.30154752731323,0.3147718484145398,0.3163186388244393,0.988399071925754,0.3147718484145398
